Category,Name,Price,Source,Purpose
Electronics,LILYGO T-Beam V1.1 (915MHz),$66.64,https://lilygo.cc/en-us/products/t-beam?variant=51708943335605,"1 for rocket, 1 for ground tracking."
,ESP32-CAM + Antenna,$0.99,https://www.aliexpress.us/item/3256808866325459.html?spm=a2g0o.productlist.main.1.45cf1c43BfBg80&algo_pvid=a70c5c89-ad28-44bb-ae68-9854368ce9a6&algo_exp_id=a70c5c89-ad28-44bb-ae68-9854368ce9a6-0&pdp_ext_f=%7B%22order%22%3A%221568%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.87%210.99%21%21%2112.91%216.82%21%4021032f3717694011885657598e93b2%2112000047723470302%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A491563c7%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847418&curPageLogUid=oFade5U532et&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009052640211%7C_p_origin_prod%3A,The camera Board
,OV2640 Camera,$0.99,https://www.aliexpress.us/item/3256802853835121.html?spm=a2g0o.productlist.main.1.6fa378cf6Tucjg&algo_pvid=8dcca10d-288d-496d-b792-2ca422486cd9&algo_exp_id=8dcca10d-288d-496d-b792-2ca422486cd9-0&pdp_ext_f=%7B%22order%22%3A%222341%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.23%210.99%21%21%214.23%210.99%21%402101f11417692897602004858ed515%2112000028124728462%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A491563c7%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847450&curPageLogUid=UfVKb2GXfaaf&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003040149873%7C_p_origin_prod%3A,To record the flight
,MicroSD Card (32GB),$0.99,https://www.aliexpress.us/item/3256806229393591.html?spm=a2g0o.productlist.main.7.364f4475T67e23&algo_pvid=954d681a-eeef-42a7-9bf6-0b70e3654ce8&algo_exp_id=954d681a-eeef-42a7-9bf6-0b70e3654ce8-6&pdp_ext_f=%7B%22order%22%3A%2244913%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2119.34%215.25%21%21%21133.55%2136.23%21%402101e80317696446683731622e1583%2112000037088996844%21sea%21US%217130607314%21ABX%211%210%21n_tag%3A-29910%3Bd%3A491563c7%3Bm03_new_user%3A-29895%3BpisId%3A5000000198352209&curPageLogUid=WyZCICAxVsmn&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006415708343%7C_p_origin_prod%3A,Store Flight Video
,BMP280 Sensor,$9.95,https://www.adafruit.com/product/2651?srsltid=AfmBOoqHcqdmTuZTPMVdxxg74nnB0V41_Z9ydNlF76eJSBEzCV7vMU3X,To measure altitude.
,18650 Battery,$6.89,https://www.aliexpress.us/item/3256808362166008.html?spm=a2g0o.productlist.main.7.6d68hArBhArBbB&algo_pvid=03dacc5a-d6b1-442b-ab46-b7e7a54529c7&algo_exp_id=03dacc5a-d6b1-442b-ab46-b7e7a54529c7-6&pdp_ext_f=%7B%22order%22%3A%22241%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2125.40%216.89%21%21%21175.64%2147.64%21%402103123917695372654524478e2523%2112000045658833462%21sea%21US%217130607314%21ABX%211%210%21n_tag%3A-29910%3Bd%3A8a12c37a%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847450&curPageLogUid=2qbFUt2Ljm59&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008548480760%7C_p_origin_prod%3A,Power for the rocket and ground station.
,FTDI Adapter,$1.82,https://www.aliexpress.us/item/3256807209358549.html?gatewayAdapt=glo2usa,Needed to program the ESP32-CAM.
,Solder,$0.00,Already Own,To Solder wires to board
,22AWG Silicone Wire,$7.94,https://www.aliexpress.us/item/3256808281675998.html?spm=a2g0o.productlist.main.7.169839a4Mqk48d&algo_pvid=20184a0c-5b30-4828-9b8a-81b87fcde019&algo_exp_id=20184a0c-5b30-4828-9b8a-81b87fcde019-6&pdp_ext_f=%7B%22order%22%3A%221666%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.57%211.07%21%21%2145.44%217.40%21%402101d6ff17694015378458768e76a6%2112000047029109470%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A491563c7%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847450&curPageLogUid=LlstXO2zz762&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008467990750%7C_p_origin_prod%3A,Vibration-proof wiring.
